英文问题,中文问题,涉及指标,答案来源表格,英文答案
"What was the revenue for Chin Hin Group in 2024?","2024年Chin Hin集团的收入是多少？","Revenue: 3,252,347 RM'000","Chin Hin-AR 2024 Profit.csv, Row 9, Column Group 2024","The revenue for Chin Hin Group in 2024 was RM 3,252,347 thousand."
"What was the revenue for Chin Hin Group in 2023?","2023年Chin Hin集团的收入是多少？","Revenue: 2,057,210 RM'000","Chin Hin-AR 2024 Profit.csv, Row 9, Column Group 2023","The revenue for Chin Hin Group in 2023 was RM 2,057,210 thousand."
"What was the cost of sales for Chin Hin Group in 2024?","2024年Chin Hin集团的销售成本是多少？","Cost of sales: 2,727,214 RM'000","Chin Hin-AR 2024 Profit.csv, Row 10, Column Group 2024","The cost of sales for Chin Hin Group in 2024 was RM 2,727,214 thousand."
"What was the gross profit for Chin Hin Group in 2024?","2024年Chin Hin集团的毛利润是多少？","Gross profit: 525,133 RM'000","Chin Hin-AR 2024 Profit.csv, Row 11, Column Group 2024","The gross profit for Chin Hin Group in 2024 was RM 525,133 thousand."
"What was the gross profit for Chin Hin Group in 2023?","2023年Chin Hin集团的毛利润是多少？","Gross profit: 188,422 RM'000","Chin Hin-AR 2024 Profit.csv, Row 11, Column Group 2023","The gross profit for Chin Hin Group in 2023 was RM 188,422 thousand."
"What was the other income for Chin Hin Group in 2024?","2024年Chin Hin集团的其他收入是多少？","Other income: 50,913 RM'000","Chin Hin-AR 2024 Profit.csv, Row 12, Column Group 2024","The other income for Chin Hin Group in 2024 was RM 50,913 thousand."
"What was the finance income for Chin Hin Group in 2024?","2024年Chin Hin集团的财务收入是多少？","Finance income: 10,368 RM'000","Chin Hin-AR 2024 Profit.csv, Row 13, Column Group 2024","The finance income for Chin Hin Group in 2024 was RM 10,368 thousand."
"What was the administrative expenses for Chin Hin Group in 2024?","2024年Chin Hin集团的管理费用是多少？","Administrative expenses: 275,666 RM'000","Chin Hin-AR 2024 Profit.csv, Row 21, Column Group 2024","The administrative expenses for Chin Hin Group in 2024 was RM 275,666 thousand."
"What was the finance costs for Chin Hin Group in 2024?","2024年Chin Hin集团的财务成本是多少？","Finance costs: 78,506 RM'000","Chin Hin-AR 2024 Profit.csv, Row 23, Column Group 2024","The finance costs for Chin Hin Group in 2024 was RM 78,506 thousand."
"What was the finance costs for Chin Hin Group in 2023?","2023年Chin Hin集团的财务成本是多少？","Finance costs: 40,516 RM'000","Chin Hin-AR 2024 Profit.csv, Row 23, Column Group 2023","The finance costs for Chin Hin Group in 2023 was RM 40,516 thousand."
"What was the profit before tax for Chin Hin Group in 2024?","2024年Chin Hin集团的税前利润是多少？","Profit before tax: 275,845 RM'000","Chin Hin-AR 2024 Profit.csv, Row 26, Column Group 2024","The profit before tax for Chin Hin Group in 2024 was RM 275,845 thousand."
"What was the profit before tax for Chin Hin Group in 2023?","2023年Chin Hin集团的税前利润是多少？","Profit before tax: 189,318 RM'000","Chin Hin-AR 2024 Profit.csv, Row 26, Column Group 2023","The profit before tax for Chin Hin Group in 2023 was RM 189,318 thousand."
"What was the taxation for Chin Hin Group in 2024?","2024年Chin Hin集团的税收是多少？","Taxation: 60,353 RM'000","Chin Hin-AR 2024 Profit.csv, Row 27, Column Group 2024","The taxation for Chin Hin Group in 2024 was RM 60,353 thousand."
"What was the profit for the financial year for Chin Hin Group in 2024?","2024年Chin Hin集团财政年度的净利润是多少？","Profit for the financial year: 215,492 RM'000","Chin Hin-AR 2024 Profit.csv, Row 28, Column Group 2024","The profit for the financial year for Chin Hin Group in 2024 was RM 215,492 thousand."
"What was the profit for the financial year for Chin Hin Group in 2023?","2023年Chin Hin集团财政年度的净利润是多少？","Profit for the financial year: 162,702 RM'000","Chin Hin-AR 2024 Profit.csv, Row 28, Column Group 2023","The profit for the financial year for Chin Hin Group in 2023 was RM 162,702 thousand."
"What was the profit attributable to owners of the parent for Chin Hin Group in 2024?","2024年Chin Hin集团归属于母公司所有者的利润是多少？","Profit attributable to owners of the parent: 114,818 RM'000","Chin Hin-AR 2024 Profit.csv, Row 54, Column Group 2024","The profit attributable to owners of the parent for Chin Hin Group in 2024 was RM 114,818 thousand."
"What was the non-controlling interests in profit for Chin Hin Group in 2024?","2024年Chin Hin集团的少数股东损益是多少？","Non-controlling interests: 97,078 RM'000","Chin Hin-AR 2024 Profit.csv, Row 56, Column Group 2024","The non-controlling interests for Chin Hin Group in 2024 was RM 97,078 thousand."
"What was the total comprehensive income for Chin Hin Group in 2024?","2024年Chin Hin集团的综合收益总额是多少？","Total comprehensive income for the financial year: 206,959 RM'000","Chin Hin-AR 2024 Profit.csv, Row 42, Column Group 2024","The total comprehensive income for Chin Hin Group in 2024 was RM 206,959 thousand."
"What was the basic earnings per share for Chin Hin Group in 2024?","2024年Chin Hin集团的基本每股收益是多少？","Basic and diluted earnings per share: 3 sen","Chin Hin-AR 2024 Profit.csv, Row 64, Column 2024","The basic and diluted earnings per share for Chin Hin Group in 2024 was 3 sen."
"What was the basic earnings per share for Chin Hin Group in 2023?","2023年Chin Hin集团的基本每股收益是多少？","Basic and diluted earnings per share: 8 sen","Chin Hin-AR 2024 Profit.csv, Row 64, Column 2023","The basic and diluted earnings per share for Chin Hin Group in 2023 was 8 sen."
"What was the revenue for Chin Hin Company in 2024?","2024年Chin Hin公司的收入是多少？","Revenue: 18,353 RM'000","Chin Hin-AR 2024 Profit.csv, Row 9, Column Company 2024","The revenue for Chin Hin Company in 2024 was RM 18,353 thousand."
"What was the revenue for Chin Hin Company in 2023?","2023年Chin Hin公司的收入是多少？","Revenue: 13,387 RM'000","Chin Hin-AR 2024 Profit.csv, Row 9, Column Company 2023","The revenue for Chin Hin Company in 2023 was RM 13,387 thousand."
"What was the gross profit for Chin Hin Company in 2024?","2024年Chin Hin公司的毛利润是多少？","Gross profit: 18,353 RM'000","Chin Hin-AR 2024 Profit.csv, Row 11, Column Company 2024","The gross profit for Chin Hin Company in 2024 was RM 18,353 thousand."
"What was the other income for Chin Hin Company in 2024?","2024年Chin Hin公司的其他收入是多少？","Other income: 59,080 RM'000","Chin Hin-AR 2024 Profit.csv, Row 12, Column Company 2024","The other income for Chin Hin Company in 2024 was RM 59,080 thousand."
"What was the administrative expenses for Chin Hin Company in 2024?","2024年Chin Hin公司的管理费用是多少？","Administrative expenses: 26,122 RM'000","Chin Hin-AR 2024 Profit.csv, Row 21, Column Company 2024","The administrative expenses for Chin Hin Company in 2024 was RM 26,122 thousand."
"What was the finance costs for Chin Hin Company in 2024?","2024年Chin Hin公司的财务成本是多少？","Finance costs: 36,056 RM'000","Chin Hin-AR 2024 Profit.csv, Row 23, Column Company 2024","The finance costs for Chin Hin Company in 2024 was RM 36,056 thousand."
"What was the profit before tax for Chin Hin Company in 2024?","2024年Chin Hin公司的税前利润是多少？","Profit before tax: 20,008 RM'000","Chin Hin-AR 2024 Profit.csv, Row 26, Column Company 2024","The profit before tax for Chin Hin Company in 2024 was RM 20,008 thousand."
"What was the profit for the financial year for Chin Hin Company in 2024?","2024年Chin Hin公司财政年度的净利润是多少？","Profit for the financial year: 18,712 RM'000","Chin Hin-AR 2024 Profit.csv, Row 28, Column Company 2024","The profit for the financial year for Chin Hin Company in 2024 was RM 18,712 thousand."
"What was the profit for the financial year for Chin Hin Company in 2023?","2023年Chin Hin公司财政年度的净利润是多少？","Profit for the financial year: 7,900 RM'000","Chin Hin-AR 2024 Profit.csv, Row 28, Column Company 2023","The profit for the financial year for Chin Hin Company in 2023 was RM 7,900 thousand."
"What was the total assets for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的总资产是多少？","Total Assets: 4,473,207 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 39, Column Group 2024","The total assets for Chin Hin Group as at 31 December 2024 was RM 4,473,207 thousand."
"What was the total assets for Chin Hin Group as at 31 December 2023?","截至2023年12月31日，Chin Hin集团的总资产是多少？","Total Assets: 3,142,830 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 39, Column Group 2023","The total assets for Chin Hin Group as at 31 December 2023 was RM 3,142,830 thousand."
"What was the non-current assets for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的非流动资产是多少？","Non-Current Assets: 1,491,419 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 24, Column Group 2024","The non-current assets for Chin Hin Group as at 31 December 2024 was RM 1,491,419 thousand."
"What was the property, plant and equipment for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的物业、厂房及设备是多少？","Property, plant and equipment: 604,008 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 11, Column Group 2024","The property, plant and equipment for Chin Hin Group as at 31 December 2024 was RM 604,008 thousand."
"What was the right-of-use assets for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的使用权资产是多少？","Right-of-use assets: 188,797 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 12, Column Group 2024","The right-of-use assets for Chin Hin Group as at 31 December 2024 was RM 188,797 thousand."
"What was the investment properties for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的投资物业是多少？","Investment properties: 157,015 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 13, Column Group 2024","The investment properties for Chin Hin Group as at 31 December 2024 was RM 157,015 thousand."
"What was the intangible assets for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的无形资产是多少？","Intangible assets: 241,882 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 14, Column Group 2024","The intangible assets for Chin Hin Group as at 31 December 2024 was RM 241,882 thousand."
"What was the investment in associates for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团对联营公司的投资是多少？","Investment in associates: 210,663 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 16, Column Group 2024","The investment in associates for Chin Hin Group as at 31 December 2024 was RM 210,663 thousand."
"What was the current assets for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的流动资产是多少？","Current Assets: 2,923,205 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 36, Column Group 2024","The current assets for Chin Hin Group as at 31 December 2024 was RM 2,923,205 thousand."
"What was the inventories for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的存货是多少？","Inventories (Current): 795,965 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 26, Column Group 2024","The inventories for Chin Hin Group as at 31 December 2024 was RM 795,965 thousand."
"What was the contract assets for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的合同资产是多少？","Contract assets: 494,620 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 27, Column Group 2024","The contract assets for Chin Hin Group as at 31 December 2024 was RM 494,620 thousand."
"What was the trade receivables for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的贸易应收款项是多少？","Trade receivables (Current): 795,224 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 29, Column Group 2024","The trade receivables for Chin Hin Group as at 31 December 2024 was RM 795,224 thousand."
"What was the cash and bank balances for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的现金及银行结余是多少？","Cash and bank balances: 342,560 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 35, Column Group 2024","The cash and bank balances for Chin Hin Group as at 31 December 2024 was RM 342,560 thousand."
"What was the total equity for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的总权益是多少？","Total Equity: 1,572,089 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 56, Column Group 2024","The total equity for Chin Hin Group as at 31 December 2024 was RM 1,572,089 thousand."
"What was the share capital for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的股本是多少？","Share capital: 381,851 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 50, Column Group 2024","The share capital for Chin Hin Group as at 31 December 2024 was RM 381,851 thousand."
"What was the equity attributable to owners of the parent for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团归属于母公司所有者的权益是多少？","Equity attributable to owners of the parent: 809,973 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 53, Column Group 2024","The equity attributable to owners of the parent for Chin Hin Group as at 31 December 2024 was RM 809,973 thousand."
"What was the non-controlling interests for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的少数股东权益是多少？","Non-controlling interests: 711,539 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 55, Column Group 2024","The non-controlling interests for Chin Hin Group as at 31 December 2024 was RM 711,539 thousand."
"What was the total liabilities for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的总负债是多少？","Total Liabilities: 2,901,118 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 78, Column Group 2024","The total liabilities for Chin Hin Group as at 31 December 2024 was RM 2,901,118 thousand."
"What was the bank borrowings for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的银行借款是多少？","Bank borrowings (Current): 1,035,547 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 75, Column Group 2024","The bank borrowings (Current) for Chin Hin Group as at 31 December 2024 was RM 1,035,547 thousand."
"What was the trade payables for Chin Hin Group as at 31 December 2024?","截至2024年12月31日，Chin Hin集团的贸易应付款项是多少？","Trade payables (Current): 514,088 RM'000","Chin Hin-AR 2024 statement of Financial position.csv, Row 69, Column Group 2024","The trade payables for Chin Hin Group as at 31 December 2024 was RM 514,088 thousand."
"What was the cash and cash equivalents at the end of 2024 for Chin Hin Group?","2024年末Chin Hin集团的现金及现金等价物是多少？","Cash and cash equivalents at the end of the financial year: 330,100 RM'000","Chin Hin-AR 2024 cashflow.csv, Row 159, Column Group 2024","The cash and cash equivalents at the end of 2024 for Chin Hin Group was RM 330,100 thousand."
"What was the net cash from operating activities for Chin Hin Group in 2024?","2024年Chin Hin集团经营活动产生的净现金流量是多少？","Net cash used in operating activities: (60,018) RM'000","Chin Hin-AR 2024 cashflow.csv, Row 100, Column Group 2024","The net cash used in operating activities for Chin Hin Group in 2024 was RM (60,018) thousand."
"What was the net cash from investing activities for Chin Hin Group in 2024?","2024年Chin Hin集团投资活动产生的净现金流量是多少？","Net cash from investing activities: 16,783 RM'000","Chin Hin-AR 2024 cashflow.csv, Row 134, Column Group 2024","The net cash from investing activities for Chin Hin Group in 2024 was RM 16,783 thousand."
"What was the net cash from financing activities for Chin Hin Group in 2024?","2024年Chin Hin集团筹资活动产生的净现金流量是多少？","Net cash from financing activities: 256,562 RM'000","Chin Hin-AR 2024 cashflow.csv, Row 147, Column Group 2024","The net cash from financing activities for Chin Hin Group in 2024 was RM 256,562 thousand."
"What was the net increase in cash and cash equivalents for Chin Hin Group in 2024?","2024年Chin Hin集团现金及现金等价物的净增加额是多少？","Net increase in cash and cash equivalents: 213,327 RM'000","Chin Hin-AR 2024 cashflow.csv, Row 156, Column Group 2024","The net increase in cash and cash equivalents for Chin Hin Group in 2024 was RM 213,327 thousand."
"What was the interest paid for Chin Hin Group in 2024?","2024年Chin Hin集团支付的利息是多少？","Interest paid: (78,506) RM'000","Chin Hin-AR 2024 cashflow.csv, Row 94, Column Group 2024","The interest paid for Chin Hin Group in 2024 was RM 78,506 thousand."
"What was the tax paid for Chin Hin Group in 2024?","2024年Chin Hin集团支付的税款是多少？","Tax paid: (64,899) RM'000","Chin Hin-AR 2024 cashflow.csv, Row 96, Column Group 2024","The tax paid for Chin Hin Group in 2024 was RM 64,899 thousand."
"What was the drawdown of term loans for Chin Hin Group in 2024?","2024年Chin Hin集团提取的定期贷款是多少？","Drawdown of term loans: 384,800 RM'000","Chin Hin-AR 2024 cashflow.csv, Row 137, Column Group 2024","The drawdown of term loans for Chin Hin Group in 2024 was RM 384,800 thousand."
"What was the repayment of term loans for Chin Hin Group in 2024?","2024年Chin Hin集团偿还的定期贷款是多少？","Repayment of term loans: (309,781) RM'000","Chin Hin-AR 2024 cashflow.csv, Row 144, Column Group 2024","The repayment of term loans for Chin Hin Group in 2024 was RM 309,781 thousand."
